180,result\model\test\resizeImg90.jpg,111,201,52,208,Fri Jan 30 18:33:47 2015
177,result\model\test\resizeImg90.jpg,110,202,54,208,Fri Jan 30 18:33:54 2015
174,result\model\test\resizeImg90.jpg,107,199,54,208,Fri Jan 30 18:33:59 2015
171,result\model\test\resizeImg90.jpg,103,203,68,210,Fri Jan 30 18:34:04 2015
168,result\model\test\resizeImg90.jpg,103,203,74,211,Fri Jan 30 18:34:08 2015
165,result\model\test\resizeImg90.jpg,96,204,82,214,Fri Jan 30 18:34:11 2015
162,result\model\test\resizeImg90.jpg,84,205,94,213,Fri Jan 30 18:34:15 2015
159,result\model\test\resizeImg90.jpg,73,202,104,216,Fri Jan 30 18:34:19 2015
156,result\model\test\resizeImg90.jpg,67,201,116,216,Fri Jan 30 18:34:23 2015
153,result\model\test\resizeImg90.jpg,65,198,126,216,Fri Jan 30 18:34:26 2015
150,result\model\test\resizeImg90.jpg,55,198,148,218,Fri Jan 30 18:34:32 2015
147,result\model\test\resizeImg90.jpg,52,199,159,216,Fri Jan 30 18:34:36 2015
144,result\model\test\resizeImg90.jpg,48,199,173,217,Fri Jan 30 18:34:40 2015
141,result\model\test\resizeImg90.jpg,46,199,193,217,Fri Jan 30 18:34:45 2015
138,result\model\test\resizeImg90.jpg,39,199,202,216,Fri Jan 30 18:34:49 2015
135,result\model\test\resizeImg90.jpg,37,200,220,217,Fri Jan 30 18:34:53 2015
132,result\model\test\resizeImg90.jpg,37,199,242,217,Fri Jan 30 18:34:56 2015
129,result\model\test\resizeImg90.jpg,41,200,260,217,Fri Jan 30 18:35:00 2015
126,result\model\test\resizeImg90.jpg,39,202,278,217,Fri Jan 30 18:35:03 2015
123,result\model\test\resizeImg90.jpg,41,201,295,216,Fri Jan 30 18:35:07 2015
120,result\model\test\resizeImg90.jpg,38,201,314,218,Fri Jan 30 18:35:11 2015
117,result\model\test\resizeImg90.jpg,38,204,332,217,Fri Jan 30 18:35:14 2015
114,result\model\test\resizeImg90.jpg,37,204,350,215,Fri Jan 30 18:35:18 2015
111,result\model\test\resizeImg90.jpg,39,200,377,211,Fri Jan 30 18:35:25 2015
108,result\model\test\resizeImg90.jpg,43,200,402,208,Fri Jan 30 18:35:29 2015
105,result\model\test\resizeImg90.jpg,43,201,414,205,Fri Jan 30 18:35:34 2015
102,result\model\test\resizeImg90.jpg,52,203,424,207,Fri Jan 30 18:35:38 2015
99,result\model\test\resizeImg90.jpg,60,204,444,208,Fri Jan 30 18:35:41 2015
96,result\model\test\resizeImg90.jpg,65,206,451,207,Fri Jan 30 18:35:46 2015
93,result\model\test\resizeImg90.jpg,72,204,472,206,Fri Jan 30 18:59:36 2015
90,result\model\test\resizeImg90.jpg,91,206,482,204,Fri Jan 30 18:35:57 2015
87,result\model\test\resizeImg90.jpg,97,205,491,203,Fri Jan 30 18:36:04 2015
84,result\model\test\resizeImg90.jpg,106,207,507,205,Fri Jan 30 18:36:14 2015
81,result\model\test\resizeImg90.jpg,119,207,515,204,Fri Jan 30 18:36:18 2015
78,result\model\test\resizeImg90.jpg,137,208,525,201,Fri Jan 30 18:36:24 2015
75,result\model\test\resizeImg90.jpg,145,206,526,202,Fri Jan 30 18:36:29 2015
72,result\model\test\resizeImg90.jpg,165,209,534,204,Fri Jan 30 18:36:34 2015
69,result\model\test\resizeImg90.jpg,179,209,543,200,Fri Jan 30 18:36:40 2015
66,result\model\test\resizeImg90.jpg,195,209,545,202,Fri Jan 30 18:36:45 2015
63,result\model\test\resizeImg90.jpg,212,210,548,201,Fri Jan 30 18:36:50 2015
60,result\model\test\resizeImg90.jpg,227,211,549,201,Fri Jan 30 18:36:54 2015
57,result\model\test\resizeImg90.jpg,245,209,554,199,Fri Jan 30 18:36:58 2015
54,result\model\test\resizeImg90.jpg,264,211,552,199,Fri Jan 30 18:37:02 2015
51,result\model\test\resizeImg90.jpg,270,210,554,200,Fri Jan 30 18:37:06 2015
48,result\model\test\resizeImg90.jpg,299,211,544,199,Fri Jan 30 18:37:10 2015
45,result\model\test\resizeImg90.jpg,322,211,543,197,Fri Jan 30 18:37:14 2015
42,result\model\test\resizeImg90.jpg,343,214,536,205,Fri Jan 30 18:37:18 2015
39,result\model\test\resizeImg90.jpg,365,211,532,204,Fri Jan 30 18:37:25 2015
36,result\model\test\resizeImg90.jpg,388,214,528,206,Fri Jan 30 18:37:29 2015
33,result\model\test\resizeImg90.jpg,399,213,527,203,Fri Jan 30 18:37:33 2015
30,result\model\test\resizeImg90.jpg,414,215,514,199,Fri Jan 30 18:37:38 2015
27,result\model\test\resizeImg90.jpg,438,214,513,200,Fri Jan 30 18:37:42 2015
24,result\model\test\resizeImg90.jpg,457,214,500,201,Fri Jan 30 18:37:46 2015
21,result\model\test\resizeImg90.jpg,467,212,499,202,Fri Jan 30 18:37:49 2015
18,result\model\test\resizeImg90.jpg,479,215,501,200,Fri Jan 30 18:37:53 2015
15,result\model\test\resizeImg90.jpg,486,214,498,199,Fri Jan 30 18:37:56 2015
12,result\model\test\resizeImg90.jpg,500,213,497,202,Fri Jan 30 18:38:01 2015
9,result\model\test\resizeImg90.jpg,509,211,479,199,Fri Jan 30 18:38:05 2015
6,result\model\test\resizeImg90.jpg,519,218,475,207,Fri Jan 30 18:38:10 2015
3,result\model\test\resizeImg90.jpg,524,217,470,211,Fri Jan 30 18:38:14 2015
0,result\model\test\resizeImg90.jpg,526,218,469,213,Fri Jan 30 18:38:18 2015
