90,result\model\test3\resizeImg90.jpg,308,160,417,157,Thu Jan 15 17:55:19 2015
87,result\model\test3\resizeImg90.jpg,319,161,420,152,Thu Jan 15 17:56:30 2015
84,result\model\test3\resizeImg90.jpg,324,160,424,159,Thu Jan 15 17:56:50 2015
81,result\model\test3\resizeImg90.jpg,336,161,437,159,Thu Jan 15 18:10:44 2015
78,result\model\test3\resizeImg90.jpg,350,157,440,159,Thu Jan 15 17:57:59 2015
75,result\model\test3\resizeImg90.jpg,362,160,453,162,Thu Jan 15 17:58:16 2015
72,result\model\test3\resizeImg90.jpg,374,160,461,166,Thu Jan 15 17:58:46 2015
69,result\model\test3\resizeImg90.jpg,378,161,462,164,Thu Jan 15 17:59:15 2015
66,result\model\test3\resizeImg90.jpg,387,159,464,155,Thu Jan 15 17:59:36 2015
63,result\model\test3\resizeImg90.jpg,395,159,469,157,Thu Jan 15 17:59:57 2015
60,result\model\test3\resizeImg90.jpg,399,163,473,162,Thu Jan 15 18:00:13 2015
57,result\model\test3\resizeImg90.jpg,409,158,475,165,Thu Jan 15 18:00:27 2015
54,result\model\test3\resizeImg90.jpg,408,158,468,159,Thu Jan 15 18:00:51 2015
51,result\model\test3\resizeImg90.jpg,417,160,474,163,Thu Jan 15 18:00:57 2015
48,result\model\test3\resizeImg90.jpg,418,161,472,164,Thu Jan 15 18:01:05 2015
45,result\model\test3\resizeImg90.jpg,420,160,468,163,Thu Jan 15 18:01:13 2015
93,result\model\test3\resizeImg90.jpg,295,162,403,159,Thu Jan 15 18:01:31 2015
96,result\model\test3\resizeImg90.jpg,283,163,391,158,Thu Jan 15 18:01:45 2015
99,result\model\test3\resizeImg90.jpg,277,158,384,155,Thu Jan 15 18:02:05 2015
102,result\model\test3\resizeImg90.jpg,261,160,367,155,Thu Jan 15 18:02:17 2015
105,result\model\test3\resizeImg90.jpg,256,159,361,153,Thu Jan 15 18:02:37 2015
108,result\model\test3\resizeImg90.jpg,249,160,352,154,Thu Jan 15 18:02:46 2015
111,result\model\test3\resizeImg90.jpg,243,159,343,152,Thu Jan 15 18:02:59 2015
114,result\model\test3\resizeImg90.jpg,236,161,332,151,Thu Jan 15 18:03:11 2015
117,result\model\test3\resizeImg90.jpg,231,160,326,150,Thu Jan 15 18:03:44 2015
120,result\model\test3\resizeImg90.jpg,228,159,318,149,Thu Jan 15 18:03:54 2015
123,result\model\test3\resizeImg90.jpg,221,158,306,149,Thu Jan 15 18:04:05 2015
126,result\model\test3\resizeImg90.jpg,221,159,302,145,Thu Jan 15 18:04:15 2015
129,result\model\test3\resizeImg90.jpg,218,156,292,145,Thu Jan 15 18:04:26 2015
132,result\model\test3\resizeImg90.jpg,213,155,281,145,Thu Jan 15 18:04:32 2015
135,result\model\test3\resizeImg90.jpg,211,154,272,141,Thu Jan 15 18:04:39 2015
