135,result\model\test2\resizeImg90.jpg,206,142,166,150,Mon Jan 26 14:50:44 2015
132,result\model\test2\resizeImg90.jpg,209,143,160,150,Mon Jan 26 15:00:54 2015
129,result\model\test2\resizeImg90.jpg,216,144,161,150,Mon Jan 26 15:01:12 2015
126,result\model\test2\resizeImg90.jpg,224,144,161,150,Mon Jan 26 15:01:20 2015
123,result\model\test2\resizeImg90.jpg,224,147,157,151,Mon Jan 26 15:01:26 2015
120,result\model\test2\resizeImg90.jpg,231,147,158,150,Mon Jan 26 15:01:32 2015
117,result\model\test2\resizeImg90.jpg,236,148,159,151,Mon Jan 26 15:01:39 2015
114,result\model\test2\resizeImg90.jpg,242,149,160,152,Mon Jan 26 15:01:48 2015
111,result\model\test2\resizeImg90.jpg,249,146,165,150,Mon Jan 26 15:01:54 2015
108,result\model\test2\resizeImg90.jpg,257,149,167,150,Mon Jan 26 15:02:02 2015
105,result\model\test2\resizeImg90.jpg,264,149,173,150,Mon Jan 26 15:02:08 2015
102,result\model\test2\resizeImg90.jpg,273,149,178,150,Mon Jan 26 15:02:14 2015
99,result\model\test2\resizeImg90.jpg,287,148,187,146,Mon Jan 26 15:02:25 2015
96,result\model\test2\resizeImg90.jpg,295,150,194,149,Mon Jan 26 15:02:30 2015
93,result\model\test2\resizeImg90.jpg,307,151,204,147,Mon Jan 26 15:02:39 2015
90,result\model\test2\resizeImg90.jpg,322,149,216,146,Mon Jan 26 15:02:45 2015
87,result\model\test2\resizeImg90.jpg,332,151,226,145,Mon Jan 26 15:02:51 2015
84,result\model\test2\resizeImg90.jpg,339,149,232,144,Mon Jan 26 15:02:56 2015
81,result\model\test2\resizeImg90.jpg,349,149,244,144,Mon Jan 26 15:03:02 2015
78,result\model\test2\resizeImg90.jpg,364,149,263,142,Mon Jan 26 15:03:09 2015
75,result\model\test2\resizeImg90.jpg,375,151,276,143,Mon Jan 26 15:03:14 2015
72,result\model\test2\resizeImg90.jpg,387,152,290,145,Mon Jan 26 15:03:18 2015
69,result\model\test2\resizeImg90.jpg,390,153,296,146,Mon Jan 26 15:03:25 2015
66,result\model\test2\resizeImg90.jpg,397,151,306,144,Mon Jan 26 15:03:34 2015
63,result\model\test2\resizeImg90.jpg,405,152,315,145,Mon Jan 26 15:03:42 2015
60,result\model\test2\resizeImg90.jpg,409,153,323,146,Mon Jan 26 15:03:49 2015
57,result\model\test2\resizeImg90.jpg,416,153,334,143,Mon Jan 26 15:03:57 2015
54,result\model\test2\resizeImg90.jpg,416,151,339,144,Mon Jan 26 15:04:02 2015
51,result\model\test2\resizeImg90.jpg,424,152,351,142,Mon Jan 26 15:10:07 2015
48,result\model\test2\resizeImg90.jpg,423,152,358,143,Mon Jan 26 15:10:18 2015
45,result\model\test2\resizeImg90.jpg,425,151,364,141,Mon Jan 26 15:04:15 2015
